GitHub username,Weeks with merged PR,Years with merged PR,Number years active,Oldest PR,Total contributions
shyuep,437,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2012, 2013, 2014, 2015",12,https://github.com/materialsproject/pymatgen/pull/2028,5873
gmatteo,164,"2016, 2017, 2018, 2019, 2020, 2021, 2023, 2013, 2014, 2015",10,https://github.com/materialsproject/pymatgen/pull/2028,973
mkhorton,159,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",8,https://github.com/materialsproject/pymatgen/pull/2028,663
wmdrichards,126,"2016, 2017, 2012, 2013, 2014, 2015",6,https://github.com/materialsproject/pymatgen/pull/2028,477
computron,95,"2016, 2017, 2018, 2019, 2020, 2011, 2012, 2013, 2014, 2015",10,https://github.com/materialsproject/pymatgen/pull/2028,328
rkingsbury,94,"2019, 2020, 2021, 2022, 2023",5,https://github.com/materialsproject/pymatgen/pull/2028,541
samblau,89,"2018, 2019, 2020, 2021, 2022, 2023",6,https://github.com/materialsproject/pymatgen/pull/2028,392
montoyjh,80,"2016, 2017, 2018, 2023, 2015",5,https://github.com/materialsproject/pymatgen/pull/2028,374
janosh,75,"2021, 2022, 2023",3,https://github.com/materialsproject/pymatgen/pull/2028,690
setten,63,"2016, 2013, 2014, 2015",4,https://github.com/materialsproject/pymatgen/pull/2028,1126
JaGeo,55,"2017, 2018, 2019, 2020, 2021, 2022, 2023",7,https://github.com/materialsproject/pymatgen/pull/2028,199
shyamd,53,"2016, 2017, 2018, 2019, 2020, 2021",6,https://github.com/materialsproject/pymatgen/pull/2028,241
mbkumar,52,"2016, 2017, 2020, 2013, 2014, 2015",6,https://github.com/materialsproject/pymatgen/pull/2028,179
xhqu1981,51,"2016, 2017, 2013, 2014, 2015",5,https://github.com/materialsproject/pymatgen/pull/2028,298
hautierg,49,"2011, 2012, 2013, 2014, 2015",5,https://github.com/materialsproject/pymatgen/pull/2028,193
CifLord,49,"2016, 2017, 2018, 2019, 2020, 2021, 2023",7,https://github.com/materialsproject/pymatgen/pull/2028,260
jmmshn,42,"2018, 2019, 2020, 2021, 2022, 2023",6,https://github.com/materialsproject/pymatgen/pull/2028,149
sdacek,39,"2016, 2012, 2013, 2014, 2015",5,https://github.com/materialsproject/pymatgen/pull/2028,193
utf,38,"2017, 2018, 2019, 2020, 2021, 2022",6,https://github.com/materialsproject/pymatgen/pull/2028,128
nisse3000,36,"2016, 2017, 2018, 2015",4,https://github.com/materialsproject/pymatgen/pull/2028,127
gpetretto,33,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2014, 2015",9,https://github.com/materialsproject/pymatgen/pull/2028,50
fraricci,33,"2016, 2017, 2018, 2019, 2020, 2022, 2023",7,https://github.com/materialsproject/pymatgen/pull/2028,129
CompRhys,31,"2020, 2021, 2022",3,https://github.com/materialsproject/pymatgen/pull/2028,123
matk86,30,"2016, 2017",2,https://github.com/materialsproject/pymatgen/pull/2028,219
arosen93,29,"2021, 2022, 2023",3,https://github.com/materialsproject/pymatgen/pull/2028,226
dbroberg,28,"2017, 2018, 2019",3,https://github.com/materialsproject/pymatgen/pull/2028,253
dwinston,26,"2016, 2017, 2018, 2019",4,https://github.com/materialsproject/pymatgen/pull/2028,30
awvio,25,"2019, 2020",2,https://github.com/materialsproject/pymatgen/pull/2028,109
espottesmith,23,"2018, 2020, 2021, 2022, 2023",5,https://github.com/materialsproject/pymatgen/pull/2028,126
saijayaram,21,"2013, 2014",2,https://github.com/materialsproject/pymatgen/pull/2028,52
davidwaroquiers,21,"2017, 2018, 2019, 2020, 2021",5,https://github.com/materialsproject/pymatgen/pull/2028,60
dongsenfo,20,"2016, 2019, 2020",3,https://github.com/materialsproject/pymatgen/pull/2028,50
gVallverdu,20,"2016, 2018, 2019, 2020, 2014, 2015",6,https://github.com/materialsproject/pymatgen/pull/2028,46
mattmcdermott,19,"2019, 2020, 2021, 2022, 2023",5,https://github.com/materialsproject/pymatgen/pull/2028,72
vorwerkc,17,"2016, 2017, 2020, 2021, 2022",5,https://github.com/materialsproject/pymatgen/pull/2028,35
welltemperedpaprika,15,"2019, 2020",2,https://github.com/materialsproject/pymatgen/pull/2028,53
ncfrey,14,"2019, 2020",2,https://github.com/materialsproject/pymatgen/pull/2028,45
htz1992213,14,"2019, 2020, 2021",3,https://github.com/materialsproject/pymatgen/pull/2028,32
munrojm,14,"2020, 2021, 2022",3,https://github.com/materialsproject/pymatgen/pull/2028,39
arepstein,13,"2020, 2021",2,https://github.com/materialsproject/pymatgen/pull/2028,47
henriquemiranda,13,"2017, 2018, 2019, 2022",4,https://github.com/materialsproject/pymatgen/pull/2028,28
HanmeiTang,12,"2017, 2018",2,https://github.com/materialsproject/pymatgen/pull/2028,33
chc273,12,"2017, 2019, 2020, 2021",4,https://github.com/materialsproject/pymatgen/pull/2028,51
lbluque,11,"2020, 2022, 2023",3,https://github.com/materialsproject/pymatgen/pull/2028,35
mturiansky,11,"2017, 2018, 2019, 2020",4,https://github.com/materialsproject/pymatgen/pull/2028,34
wood-b,11,"2016, 2017, 2018",3,https://github.com/materialsproject/pymatgen/pull/2028,25
blondegeek,10,"2016, 2017, 2018, 2019",4,https://github.com/materialsproject/pymatgen/pull/2028,28
rwoodsrobinson,10,"2019, 2020, 2021",3,https://github.com/materialsproject/pymatgen/pull/2028,48
tschaume,10,"2018, 2019, 2014, 2015",4,https://github.com/materialsproject/pymatgen/pull/2028,25
WardLT,10,"2017, 2018, 2019",3,https://github.com/materialsproject/pymatgen/pull/2028,34
ab5424,9,"2020, 2021, 2022",3,https://github.com/materialsproject/pymatgen/pull/2028,23
kmu,9,"2017, 2018, 2019, 2021",4,https://github.com/materialsproject/pymatgen/pull/2028,26
adengz,8,"2017, 2019, 2014, 2015",4,https://github.com/materialsproject/pymatgen/pull/2028,10
specter119,8,"2016, 2017, 2018",3,https://github.com/materialsproject/pymatgen/pull/2028,13
nheinsdorf,8,2022,1,https://github.com/materialsproject/pymatgen/pull/2028,31
yang-ruoxi,8,"2021, 2022, 2023",3,https://github.com/materialsproject/pymatgen/pull/2028,20
