Isotope,conc,Coh b,Inc b,Coh xs,Inc xs,Scatt xs,Abs xs
H,,-3.739,,1.7568,80.26,82.02,0.3326
1H,99.985,-3.7406,25.274,1.7583,80.27,82.03,0.3326
2H,0.015,6.671,4.04,5.592,2.05,7.64,0.000519
3H,(12.32 a),4.792,-1.04,2.89,0.14,3.03,0
He,,,,1.34,0,1.34,0.00747
3He,0.00014,5.74-1.483i,-2.5+2.568i,4.42,1.6,6,5333.(7.)
4He,99.99986,3.26,0,1.34,0,1.34,0
Li,,-1.9,,0.454,0.92,1.37,70.5
6Li,7.5,2.00-0.261i,-1.89+0.26i,0.51,0.46,0.97,940.(4.)
7Li,92.5,-2.22,-2.49,0.619,0.78,1.4,0.0454
Be,100,7.79,0.12,7.63,0.0018,7.63,0.0076
B,,5.30-0.213i,,3.54,1.7,5.24,767.(8.)
10B,20,-0.1-1.066i,-4.7+1.231i,0.144,3,3.1,3835.(9.)
11B,80,6.65,-1.3,5.56,0.21,5.77,0.0055
C,,6.646,,5.551,0.001,5.551,0.0035
12C,98.9,6.6511,0,5.559,0,5.559,0.00353
13C,1.1,6.19,-0.52,4.81,0.034,4.84,0.00137
N,,9.36,,11.01,0.5,11.51,1.9
14N,99.63,9.37,2,11.03,0.5,11.53,1.91
15N,0.37,6.44,-0.02,5.21,0.00005,5.21,0.000024
O,,5.803,,4.232,0.0008,4.232,0.00019
16O,99.762,5.803,0,4.232,0,4.232,0.0001
17O,0.038,5.78,0.18,4.2,0.004,4.2,0.236
18O,0.2,5.84,0,4.29,0,4.29,0.00016
F,100,5.654,-0.082,4.017,0.0008,4.018,0.0096
Ne,,4.566,,2.62,0.008,2.628,0.039
20Ne,90.51,4.631,0,2.695,0,2.695,0.036
21Ne,0.27,6.66,(+/-)0.6,5.6,0.05,5.7,0.67
22Ne,9.22,3.87,0,1.88,0,1.88,0.046
Na,100,3.63,3.59,1.66,1.62,3.28,0.53
Mg,,5.375,,3.631,0.08,3.71,0.063
24Mg,78.99,5.66,0,4.03,0,4.03,0.05
25Mg,10,3.62,1.48,1.65,0.28,1.93,0.19
26Mg,11.01,4.89,0,3,0,3,0.0382
Al,100,3.449,0.256,1.495,0.0082,1.503,0.231
Si,,4.1491,,2.163,0.004,2.167,0.171
28Si,92.23,4.107,0,2.12,0,2.12,0.177
29Si,4.67,4.7,0.09,2.78,0.001,2.78,0.101
30Si,3.1,4.58,0,2.64,0,2.64,0.107
P,100,5.13,0.2,3.307,0.005,3.312,0.172
S,,2.847,,1.0186,0.007,1.026,0.53
32S,95.02,2.804,0,0.988,0,0.988,0.54
33S,0.75,4.74,1.5,2.8,0.3,3.1,0.54
34S,4.21,3.48,0,1.52,0,1.52,0.227
36S,0.02,3.(1.),0,1.1,0,1.1,0.15
Cl,,9.577,,11.5257,5.3,16.8,33.5
35Cl,75.77,11.65,6.1,17.06,4.7,21.8,44.1
37Cl,24.23,3.08,0.1,1.19,0.001,1.19,0.433
Ar,,1.909,,0.458,0.225,0.683,0.675
36Ar,0.337,24.9,0,77.9,0,77.9,5.2
38Ar,0.063,3.5,0,1.5(3.1),0,1.5(3.1),0.8
40Ar,99.6,1.83,0,0.421,0,0.421,0.66
K,,3.67,,1.69,0.27,1.96,2.1
39K,93.258,3.74,1.4,1.76,0.25,2.01,2.1
40K,0.012,3.(1.),,1.1,0.5,1.6,35.(8.)
41K,6.73,2.69,1.5,0.91,0.3,1.2,1.46
Ca,,4.7,,2.78,0.05,2.83,0.43
40Ca,96.941,4.8,0,2.9,0,2.9,0.41
42Ca,0.647,3.36,0,1.42,0,1.42,0.68
43Ca,0.135,-1.56,,0.31,0.5,0.8,6.2
44Ca,2.086,1.42,0,0.25,0,0.25,0.88
46Ca,0.004,3.6,0,1.6,0,1.6,0.74
48Ca,0.187,0.39,0,0.019,0,0.019,1.09
Sc,100,12.29,-6,19,4.5,23.5,27.5
Ti,,-3.438,,1.485,2.87,4.35,6.09
46Ti,8.2,4.93,0,3.05,0,3.05,0.59
47Ti,7.4,3.63,-3.5,1.66,1.5,3.2,1.7
48Ti,73.8,-6.08,0,4.65,0,4.65,7.84
49Ti,5.4,1.04,5.1,0.14,3.3,3.4,2.2
50Ti,5.2,6.18,0,4.8,0,4.8,0.179
V,,-0.3824,,0.0184,5.08,5.1,5.08
