,element,orbital,weight,Hartree-Fock binding energies
0,H,1s,2e-06,13.6
1,He,1s,0.00011,23.4
2,Li,1s,0.00079,59.8
3,Li,2s,8.6e-06,5.5
4,Be,1s,0.0026,118.3
5,Be,2s,8.7e-05,8.2
6,B,1s,0.0066,195.5
7,B,2s,0.00028,12.6
8,B,2p,2.4e-06,6.7
9,C,1s,0.013,290.9
10,C,2s,0.00066,17.5
11,C,2p,1e-05,9.0
12,N,1s,0.024,404.6
13,N,2s,0.0011,23.1
14,N,2p,7.2e-05,11.5
15,O,1s,0.04,536.8
16,O,2s,0.0019,29.2
17,O,2p,0.00024,14.2
18,F,1s,0.06,687.6
19,F,2s,0.0028,35.8
20,F,2p,0.00068,17.0
21,Ne,1s,0.086,857.0
22,Ne,2s,0.004,43.1
23,Ne,2p,0.0013,20.0
24,Na,1s,0.117,1062.2
25,Na,2s,0.0058,64.3
26,Na,2p,0.0025,36.3
27,Na,3s,9.7e-05,5.1
28,Mg,1s,0.152,1291.9
29,Mg,2s,0.0077,89.1
30,Mg,2p,0.0046,56.4
31,Mg,3s,0.00038,6.9
32,Al,2s,0.01,118.6
33,Al,2p,0.0072,80.9
34,Al,3s,0.00078,10.1
35,Al,3p,5.9e-05,4.9
36,Si,2s,0.013,150.8
37,Si,2p,0.011,108.2
38,Si,3s,0.001,13.6
39,Si,3p,0.00017,6.5
40,P,2s,0.016,186.2
41,P,2p,0.016,138.5
42,P,3s,0.0014,17.1
43,P,3p,0.0005,8.3
44,S,2s,0.019,224.6
45,S,2p,0.022,171.8
46,S,3s,0.0019,20.8
47,S,3p,0.001,10.3
48,Cl,2s,0.022,266.2
49,Cl,2p,0.031,208.2
50,Cl,3s,0.0025,24.7
51,Cl,3p,0.0019,12.3
52,Ar,2s,0.026,311.1
53,Ar,2p,0.041,247.7
54,Ar,3s,0.003,28.7
55,Ar,3p,0.0034,14.5
56,K,2s,0.03,368.2
57,K,2p,0.053,299.4
58,K,3s,0.0038,40.2
59,K,3p,0.0049,23.6
60,Ca,2s,0.035,430.3
61,Ca,2p,0.068,356.2
62,Ca,3s,0.0047,52.7
63,Ca,3p,0.0069,33.8
64,Ca,4s,0.00031,5.4
65,Sc,2s,0.039,489.4
66,Sc,2p,0.086,409.9
67,Sc,3s,0.0055,60.3
68,Sc,3p,0.0089,39.2
69,Sc,4s,0.00046,5.9
70,Sc,3d,5.3e-05,7.2
71,Ti,2s,0.044,551.3
72,Ti,2p,0.107,466.4
73,Ti,3s,0.0064,67.8
74,Ti,3p,0.011,44.6
75,Ti,4s,0.0005,6.2
76,Ti,3d,0.00017,8.5
77,V,2s,0.048,616.2
78,V,2p,0.131,525.8
79,V,3s,0.0073,75.3
80,V,3p,0.013,49.9
81,V,4s,0.00051,6.6
82,V,3d,0.00042,9.8
83,Cr,2s,0.053,677.9
84,Cr,2p,0.158,582.0
85,Cr,3s,0.0081,77.7
86,Cr,3p,0.015,50.2
87,Cr,4s,0.00018,5.9
88,Cr,3d,0.00088,6.5
89,Mn,2s,0.057,755.2
90,Mn,2p,0.188,653.7
91,Mn,3s,0.0091,90.9
92,Mn,3p,0.019,60.9
93,Mn,4s,0.00058,7.1
94,Mn,3d,0.0014,12.0
95,Fe,2s,0.062,829.3
96,Fe,2p,0.222,722.2
97,Fe,3s,0.01,98.9
98,Fe,3p,0.022,66.6
99,Fe,4s,0.0007,7.4
100,Fe,3d,0.0022,13.1
101,Co,2s,0.067,906.7
102,Co,2p,0.259,793.9
103,Co,3s,0.011,107.2
104,Co,3p,0.026,72.4
105,Co,4s,0.00071,7.7
106,Co,3d,0.0037,14.2
107,Ni,2s,0.071,987.3
108,Ni,2p,0.3,868.8
109,Ni,3s,0.012,115.6
110,Ni,3p,0.029,78.3
111,Ni,4s,0.00083,7.9
112,Ni,3d,0.0059,15.2
113,Cu,2s,0.075,1063.3
114,Cu,2p,0.344,939.1
115,Cu,3s,0.013,117.5
116,Cu,3p,0.033,77.7
117,Cu,4s,0.00027,6.9
118,Cu,3d,0.012,10.1
119,Zn,2s,0.079,1158.1
120,Zn,2p,0.391,1027.9
121,Zn,3s,0.014,133.2
122,Zn,3p,0.037,90.6
123,Zn,4s,0.00078,8.4
124,Zn,3d,0.012,17.1
125,Ga,2s,0.083,1260.4
126,Ga,2p,0.441,1124.2
127,Ga,3s,0.015,152.9
128,Ga,3p,0.043,107.4
129,Ga,4s,0.0012,11.4
130,Ga,3d,0.014,27.8
131,Ge,2s,0.088,1367.4
132,Ge,2p,0.497,1225.1
133,Ge,3s,0.016,173.7
134,Ge,3p,0.048,125.1
135,Ge,4s,0.0015,14.4
136,Ge,3d,0.019,39.3
137,Ge,4p,0.00074,6.4
138,As,2s,0.086,1479.2
139,As,2p,0.558,1330.9
140,As,3s,0.018,195.6
141,As,3p,0.054,144.0
142,As,4s,0.0018,17.4
143,As,3d,0.025,52.0
144,As,4p,0.0017,7.9
145,Se,2p,0.592,1441.4
146,Se,3s,0.019,218.7
147,Se,3p,0.06,164.0
148,Se,4s,0.0021,20.3
149,Se,3d,0.031,65.8
150,Se,4p,0.0026,9.5
151,Br,3s,0.02,243.0
152,Br,3p,0.067,185.2
153,Br,4s,0.0025,23.4
154,Br,3d,0.039,80.6
155,Br,4p,0.0045,11.2
156,Kr,3s,0.022,268.4
157,Kr,3p,0.074,207.5
158,Kr,4s,0.0029,26.5
159,Kr,3d,0.047,96.6
160,Kr,4p,0.0063,13.0
161,Rb,3s,0.023,302.1
162,Rb,3p,0.081,237.9
163,Rb,4s,0.0033,35.5
164,Rb,3d,0.058,120.7
165,Rb,4p,0.0085,20.1
166,Sr,3s,0.025,337.7
167,Sr,3p,0.089,270.3
168,Sr,4s,0.0039,45.0
169,Sr,3d,0.069,146.6
170,Sr,4p,0.01,27.7
171,Sr,5s,0.0003,5.0
172,Y,3s,0.027,371.2
173,Y,3p,0.096,300.5
174,Y,4s,0.0045,51.5
175,Y,3d,0.082,170.5
176,Y,4p,0.012,32.6
177,Y,5s,0.00048,5.5
178,Y,4d,0.00045,5.6
179,Zr,3s,0.028,405.4
180,Zr,3p,0.105,331.4
181,Zr,4s,0.005,57.6
182,Zr,3d,0.096,194.8
183,Zr,4p,0.014,37.1
184,Zr,5s,0.00046,5.9
185,Zr,4d,0.0011,7.0
186,Nb,3s,0.03,436.7
187,Nb,3p,0.113,359.4
188,Nb,4s,0.0054,60.3
189,Nb,3d,0.112,216.3
190,Nb,4p,0.015,38.5
191,Nb,5s,0.00018,5.5
192,Nb,4d,0.0026,6.1
193,Mo,3s,0.032,472.3
194,Mo,3p,0.1211,391.6
195,Mo,4s,0.006,66.0
196,Mo,3d,0.13,242.0
197,Mo,4p,0.017,42.5
198,Mo,5s,0.00023,5.7
199,Mo,4d,0.0046,7.2
200,Tc,3s,0.034,513.2
201,Tc,3p,0.13,429.1
202,Tc,4s,0.0066,75.5
203,Tc,3d,0.15,273.0
204,Tc,4p,0.02,50.3
205,Tc,5s,0.00058,6.8
206,Tc,4d,0.006,11.2
207,Ru,3s,0.036,546.3
208,Ru,3p,0.139,458.8
209,Ru,4s,0.0071,77.2
210,Ru,3d,0.172,296.1
211,Ru,4p,0.021,50.6
212,Ru,5s,0.00022,6.0
213,Ru,4d,0.0091,9.3
214,Rh,3s,0.038,584.9
215,Rh,3p,0.148,493.9
216,Rh,4s,0.0076,82.8
217,Rh,3d,0.195,324.5
218,Rh,4p,0.023,54.7
219,Rh,5s,0.00023,6.2
220,Rh,4d,0.012,10.4
