# VASP version 5.2.2 potentials 2010 -- calculations by Kurt Lejaeghere

H	17.445	10.101	3.032
He	17.721	0.923	7.416
Li	20.286	13.801	3.159
Be	7.920	123.305	3.293
B	7.251	237.006	3.467
C	11.661	208.405	3.558
N	29.648	56.413	3.859
O	19.186	51.428	4.058
F	19.541	34.185	4.203
Ne	24.606	1.071	14.475
Na	37.074	7.688	3.044
Mg	22.847	36.471	3.919
Al	16.487	77.287	4.651
Si	20.446	88.790	4.296
P	21.359	68.513	4.338
S	17.167	83.524	4.136
Cl	38.207	19.154	4.334
Ar	52.652	0.788	7.351
K	73.844	3.592	3.818
Ca	42.169	17.518	3.017
Sc	24.659	54.370	3.406
Ti	17.371	112.521	3.599
V	13.484	181.621	4.020
Cr	11.834	176.751	7.166
Mn	11.569	115.449	0.354
Fe	11.375	185.742	4.910
Co	10.875	210.783	4.994
Ni	10.942	193.681	4.919
Cu	12.026	136.757	5.097
Zn	15.288	74.193	5.624
Ga	20.356	48.928	5.087
Ge	23.911	58.826	4.777
As	22.686	68.726	4.294
Se	29.829	47.229	4.480
Br	39.467	22.463	4.850
Kr	66.559	0.683	4.824
Rb	91.238	2.790	3.729
Sr	54.541	11.132	4.594
Y	32.921	41.378	3.203
Zr	23.530	93.781	3.584
Nb	18.337	171.753	3.970
Mo	15.917	262.885	4.342
Tc	14.596	298.498	4.545
Ru	13.844	311.518	4.951
Rh	14.179	254.234	5.250
Pd	15.444	168.191	5.636
Ag	18.054	89.106	5.778
Cd	23.008	43.780	7.225
In	27.538	35.433	5.335
Sn	36.859	35.843	4.852
Sb	31.794	50.899	4.544
Te	34.961	44.964	4.721
I	50.123	18.720	5.090
Xe	87.770	0.525	7.764
Cs	116.957	1.974	3.483
Ba	63.554	8.863	3.107
Lu	29.469	47.159	3.438
Hf	22.496	107.831	3.478
Ta	18.325	194.286	3.972
W	16.226	304.396	4.298
Re	14.933	372.481	4.548
Os	14.360	400.928	4.948
Ir	14.566	345.973	5.173
Pt	15.723	248.060	5.534
Au	18.182	136.424	5.914
Hg	29.944	7.623	12.941
Tl	31.521	26.464	5.429
Pb	32.079	39.787	4.403
Bi	36.985	42.539	4.550
Po	37.534	45.385	4.633
Rn	93.106	0.553	7.240


