# WIEN2k version 11.1 -- calculations by Kurt Lejaeghere and Stefaan Cottenier

H	17.547	10.329	2.763
He	17.778	0.847	6.534
Li	20.216	13.879	3.754
Be	7.913	123.479	3.325
B	7.247	237.375	3.473
C	11.662	210.039	3.572
N	29.067	53.572	3.707
O	18.862	56.435	4.628
F	19.329	35.442	4.563
Ne	24.349	1.242	8.664
Na	37.089	7.728	3.736
Mg	22.934	35.748	4.263
Al	16.503	77.512	4.667
Si	20.55	88.846	4.329
P	21.613	68.79	4.415
S	17.346	85.495	4.44
Cl	39.175	19.324	4.489
Ar	52.209	0.704	7.838
K	73.71	3.586	3.734
Ca	42.208	17.3	3.167
Sc	24.621	54.559	3.402
Ti	17.407	112.712	3.591
V	13.517	185.231	3.731
Cr	11.91	183.841	7.374
Mn	11.611	131.159	0.852
Fe	11.451	196.127	6.137
Co	10.941	215.423	5.111
Ni	10.979	204.053	4.964
Cu	12.014	142.296	5.168
Zn	15.262	74.903	5.71
Ga	20.377	49.087	5.33
Ge	24.094	59.486	5.084
As	22.571	69.732	4.294
Se	29.972	47.896	4.646
Br	39.78	22.629	5.154
Kr	65.356	0.768	18.242
Rb	91.13	2.842	2.321
Sr	54.561	11.333	4.172
Y	32.864	41.32	2.952
Zr	23.402	94.061	3.247
Nb	18.155	168.691	3.504
Mo	15.825	260.41	4.264
Tc	14.472	301.391	4.555
Ru	13.81	315.359	4.955
Rh	14.082	260.576	5.44
Pd	15.325	170.024	5.726
Ag	17.853	91.45	5.568
Cd	22.856	44.103	7.402
In	27.497	34.759	4.87
Sn	36.87	36.075	4.912
Sb	31.82	50.477	4.525
Te	34.944	44.627	4.53
I	50.352	18.716	5.006
Xe	87.199	0.573	3.417
Cs	115.72	2.019	10.401
Ba	63.207	8.761	1.337
Lu	29.061	46.954	3.492
Hf	22.539	107.501	3.429
Ta	18.301	189.47	3.673
W	16.168	303.5	4.373
Re	14.984	365.048	4.477
Os	14.31	401.255	5.334
Ir	14.557	345.258	3.639
Pt	15.666	250.23	5.57
Au	17.991	138.848	5.824
Hg	29.512	8.314	9.828
Tl	31.41	26.975	6.259
Pb	32.034	39.372	3.963
Bi	36.928	42.691	4.338
Po	37.571	45.432	5.13
Rn	88.955	0.811	0.694
