1.1.1 P1		1.1.1 1
1.2.2 P11'		1.2.2 11'
1.3.3 P_S1		1.2.2 11'
2.1.4 P-1		2.1.3 -1
2.2.5 P-11'		2.2.4 -11'
2.3.6 P-1'		2.3.5 -1'
2.4.7 P_S-1		2.2.4 -11'
3.1.8 P2		3.1.6 2
3.2.9 P21'		3.2.7 21'
3.3.10 P2'		3.3.8 2'
3.4.11 P_a2		3.2.7 21'
3.5.12 P_b2		3.2.7 21'
3.6.13 C_a2		3.2.7 21'
3.7.14 P_b2_1		3.2.7 21'
4.1.15 P2_1		3.1.6 2
4.2.16 P2_11'		3.2.7 21'
4.3.17 P2_1'		3.3.8 2'
4.4.18 P_a2_1		3.2.7 21'
5.1.19 C2		3.1.6 2
5.2.20 C21'		3.2.7 21'
5.3.21 C2'		3.3.8 2'
5.4.22 C_c2		3.2.7 21'
5.5.23 P_C2		3.2.7 21'
5.6.24 P_C2_1		3.2.7 21'
6.1.25 Pm		4.1.9 m
6.2.26 Pm1'		4.2.10 m1'
6.3.27 Pm'		4.3.11 m'
6.4.28 P_am		4.2.10 m1'
6.5.29 P_bm		4.2.10 m1'
6.6.30 C_am		4.2.10 m1'
6.7.31 P_cc		4.2.10 m1'
7.1.32 Pc		4.1.9 m
7.2.33 Pc1'		4.2.10 m1'
7.3.34 Pc'		4.3.11 m'
7.4.35 P_ac		4.2.10 m1'
7.5.36 P_bc		4.2.10 m1'
7.6.37 C_ac		4.2.10 m1'
8.1.38 Cm		4.1.9 m
8.2.39 Cm1'		4.2.10 m1'
8.3.40 Cm'		4.3.11 m'
8.4.41 C_cm		4.2.10 m1'
8.5.42 P_Cm		4.2.10 m1'
8.6.43 C_cc		4.2.10 m1'
8.7.44 P_Ac		4.2.10 m1'
9.1.45 Cc		4.1.9 m
9.2.46 Cc1'		4.2.10 m1'
9.3.47 Cc'		4.3.11 m'
9.4.48 P_Cc		4.2.10 m1'
10.1.49 P2/m		5.1.12 2/m
10.2.50 P2/m1'		5.2.13 2/m1'
10.3.51 P2'/m		5.3.14 2'/m
10.4.52 P2/m'		5.4.15 2/m'
10.5.53 P2'/m'		5.5.16 2'/m'
10.6.54 P_a2/m		5.2.13 2/m1'
10.7.55 P_b2/m		5.2.13 2/m1'
10.8.56 C_a2/m		5.2.13 2/m1'
10.9.57 P_b2_1/m		5.2.13 2/m1'
10.10.58 P_c2/c		5.2.13 2/m1'
11.1.59 P2_1/m		5.1.12 2/m
11.2.60 P2_1/m1'		5.2.13 2/m1'
11.3.61 P2_1'/m		5.3.14 2'/m
11.4.62 P2_1/m'		5.4.15 2/m'
11.5.63 P2_1'/m'		5.5.16 2'/m'
11.6.64 P_a2_1/m		5.2.13 2/m1'
11.7.65 P_c2_1/c		5.2.13 2/m1'
12.1.66 C2/m		5.1.12 2/m
12.2.67 C2/m1'		5.2.13 2/m1'
12.3.68 C2'/m		5.3.14 2'/m
12.4.69 C2/m'		5.4.15 2/m'
12.5.70 C2'/m'		5.5.16 2'/m'
12.6.71 C_c2/m		5.2.13 2/m1'
12.7.72 P_C2/m		5.2.13 2/m1'
12.8.73 C_c2/c		5.2.13 2/m1'
12.9.74 P_C2_1/m		5.2.13 2/m1'
12.10.75 P_A2/c		5.2.13 2/m1'
12.11.76 P_A2_1/c		5.2.13 2/m1'
13.1.77 P2/c		5.1.12 2/m
13.2.78 P2/c1'		5.2.13 2/m1'
13.3.79 P2'/c		5.3.14 2'/m
13.4.80 P2/c'		5.4.15 2/m'
13.5.81 P2'/c'		5.5.16 2'/m'
13.6.82 P_a2/c		5.2.13 2/m1'
13.7.83 P_b2/c		5.2.13 2/m1'
13.8.84 C_a2/c		5.2.13 2/m1'
13.9.85 P_b2_1/c		5.2.13 2/m1'
14.1.86 P2_1/c		5.1.12 2/m
14.2.87 P2_1/c1'		5.2.13 2/m1'
14.3.88 P2_1'/c		5.3.14 2'/m
14.4.89 P2_1/c'		5.4.15 2/m'
14.5.90 P2_1'/c'		5.5.16 2'/m'
14.6.91 P_a2_1/c		5.2.13 2/m1'
15.1.92 C2/c		5.1.12 2/m
15.2.93 C2/c1'		5.2.13 2/m1'
15.3.94 C2'/c		5.3.14 2'/m
15.4.95 C2/c'		5.4.15 2/m'
15.5.96 C2'/c'		5.5.16 2'/m'
15.6.97 P_C2/c		5.2.13 2/m1'
15.7.98 P_C2_1/c		5.2.13 2/m1'
16.1.99 P222		6.1.17 222
16.2.100 P2221'		6.2.18 2221'
16.3.101 P2'2'2		6.3.19 2'2'2
16.4.102 P_a222		6.2.18 2221'
16.5.103 C_a222		6.2.18 2221'
16.6.104 F_S222		6.2.18 2221'
16.7.105 P_c222_1		6.2.18 2221'
17.1.106 P222_1		6.1.17 222
17.2.107 P222_11'		6.2.18 2221'
17.3.108 P2'2'2_1		6.3.19 2'2'2
17.4.109 P22'2_1'		6.3.19 22'2'
17.5.110 P_a222_1		6.2.18 2221'
17.6.111 C_a222_1		6.2.18 2221'
17.7.112 P_b2_12_12		6.2.18 2221'
18.1.113 P2_12_12		6.1.17 222
18.2.114 P2_12_121'		6.2.18 2221'
18.3.115 P2_1'2_1'2		6.3.19 2'2'2
18.4.116 P2_12_1'2'		6.3.19 22'2'
18.5.117 P_c2_12_12		6.2.18 2221'
18.6.118 P_c2_12_12_1		6.2.18 2221'
19.1.119 P2_12_12_1		6.1.17 222
19.2.120 P2_12_12_11'		6.2.18 2221'
19.3.121 P2_1'2_1'2_1		6.3.19 2'2'2
20.1.122 C222_1		6.1.17 222
20.2.123 C222_11'		6.2.18 2221'
20.3.124 C2'2'2_1		6.3.19 2'2'2
20.4.125 C22'2_1'		6.3.19 22'2'
20.5.126 P_C222_1		6.2.18 2221'
20.6.127 P_C2_12_12_1		6.2.18 2221'
20.7.128 P_B2_12_12		6.2.18 2221'
21.1.129 C222		6.1.17 222
21.2.130 C2221'		6.2.18 2221'
21.3.131 C2'2'2		6.3.19 2'2'2
21.4.132 C22'2'		6.3.19 22'2'
21.5.133 C_c222		6.2.18 2221'
21.6.134 P_C222		6.2.18 2221'
21.7.135 I_c222		6.2.18 2221'
21.8.136 C_c222_1		6.2.18 2221'
21.9.137 P_C2_12_12		6.2.18 2221'
21.10.138 P_B222_1		6.2.18 2221'
21.11.139 I_c2_12_12_1		6.2.18 2221'
22.1.140 F222		6.1.17 222
22.2.141 F2221'		6.2.18 2221'
22.3.142 F2'2'2		6.3.19 2'2'2
22.4.143 C_A222		6.2.18 2221'
22.5.144 C_A222_1		6.2.18 2221'
23.1.145 I222		6.1.17 222
23.2.146 I2221'		6.2.18 2221'
23.3.147 I2'2'2		6.3.19 2'2'2
23.4.148 P_I222		6.2.18 2221'
23.5.149 P_I2_12_12		6.2.18 2221'
24.1.150 I2_12_12_1		6.1.17 222
24.2.151 I2_12_12_11'		6.2.18 2221'
24.3.152 I2_1'2_1'2_1		6.3.19 2'2'2
24.4.153 P_I2_12_12_1		6.2.18 2221'
24.5.154 P_I222_1		6.2.18 2221'
25.1.155 Pmm2		7.1.20 mm2
25.2.156 Pmm21'		7.2.21 mm21'
25.3.157 Pm'm2'		7.3.22 m'm2'
25.4.158 Pm'm'2		7.4.23 m'm'2
25.5.159 P_cmm2		7.2.21 mm21'
25.6.160 P_amm2		7.2.21 mm21'
25.7.161 C_amm2		7.2.21 mm21'
25.8.162 A_bmm2		7.2.21 mm21'
25.9.163 F_Smm2		7.2.21 mm21'
25.10.164 P_cmc2_1		7.2.21 mm21'
25.11.165 P_ccc2		7.2.21 mm21'
25.12.166 P_ama2		7.2.21 mm21'
25.13.167 A_bbm2		7.2.21 mm21'
26.1.168 Pmc2_1		7.1.20 mm2
26.2.169 Pmc2_11'		7.2.21 mm21'
26.3.170 Pm'c2_1'		7.3.22 m'm2'
26.4.171 Pmc'2_1'		7.3.22 mm'2'
26.5.172 Pm'c'2_1		7.4.23 m'm'2
26.6.173 P_amc2_1		7.2.21 mm21'
26.7.174 P_bmc2_1		7.2.21 mm21'
26.8.175 C_amc2_1		7.2.21 mm21'
26.9.176 P_amn2_1		7.2.21 mm21'
26.10.177 P_aca2_1		7.2.21 mm21'
27.1.178 Pcc2		7.1.20 mm2
27.2.179 Pcc21'		7.2.21 mm21'
27.3.180 Pc'c2'		7.3.22 m'm2'
27.4.181 Pc'c'2		7.4.23 m'm'2
27.5.182 P_acc2		7.2.21 mm21'
27.6.183 C_acc2		7.2.21 mm21'
27.7.184 P_bnc2		7.2.21 mm21'
28.1.185 Pma2		7.1.20 mm2
28.2.186 Pma21'		7.2.21 mm21'
28.3.187 Pm'a2'		7.3.22 m'm2'
28.4.188 Pma'2'		7.3.22 mm'2'
28.5.189 Pm'a'2		7.4.23 m'm'2
28.6.190 P_bma2		7.2.21 mm21'
28.7.191 P_cma2		7.2.21 mm21'
28.8.192 A_bma2		7.2.21 mm21'
28.9.193 P_bba2		7.2.21 mm21'
28.10.194 P_cca2_1		7.2.21 mm21'
28.11.195 P_cmn2_1		7.2.21 mm21'
28.12.196 P_cnc2		7.2.21 mm21'
28.13.197 A_bba2		7.2.21 mm21'
29.1.198 Pca2_1		7.1.20 mm2
29.2.199 Pca2_11'		7.2.21 mm21'
29.3.200 Pc'a2_1'		7.3.22 m'm2'
29.4.201 Pca'2_1'		7.3.22 mm'2'
29.5.202 Pc'a'2_1		7.4.23 m'm'2
29.6.203 P_bca2_1		7.2.21 mm21'
29.7.204 P_bna2_1		7.2.21 mm21'
30.1.205 Pnc2		7.1.20 mm2
30.2.206 Pnc21'		7.2.21 mm21'
30.3.207 Pn'c2'		7.3.22 m'm2'
30.4.208 Pnc'2'		7.3.22 mm'2'
30.5.209 Pn'c'2		7.4.23 m'm'2
30.6.210 P_anc2		7.2.21 mm21'
30.7.211 P_ann2		7.2.21 mm21'
31.1.212 Pmn2_1		7.1.20 mm2
31.2.213 Pmn2_11'		7.2.21 mm21'
31.3.214 Pm'n2_1'		7.3.22 m'm2'
31.4.215 Pmn'2_1'		7.3.22 mm'2'
31.5.216 Pm'n'2_1		7.4.23 m'm'2
31.6.217 P_bmn2_1		7.2.21 mm21'
31.7.218 P_ana2_1		7.2.21 mm21'
32.1.219 Pba2		7.1.20 mm2
32.2.220 Pba21'		7.2.21 mm21'
32.3.221 Pb'a2'		7.3.22 m'm2'
32.4.222 Pb'a'2		7.4.23 m'm'2
32.5.223 P_cba2		7.2.21 mm21'
32.6.224 P_cna2_1		7.2.21 mm21'
32.7.225 P_cnn2		7.2.21 mm21'
33.1.226 Pna2_1		7.1.20 mm2
33.2.227 Pna2_11'		7.2.21 mm21'
33.3.228 Pn'a2_1'		7.3.22 m'm2'
33.4.229 Pna'2_1'		7.3.22 mm'2'
33.5.230 Pn'a'2_1		7.4.23 m'm'2
34.1.231 Pnn2		7.1.20 mm2
34.2.232 Pnn21'		7.2.21 mm21'
34.3.233 Pn'n2'		7.3.22 m'm2'
34.4.234 Pn'n'2		7.4.23 m'm'2
34.5.235 F_Sdd2		7.2.21 mm21'
35.1.236 Cmm2		7.1.20 mm2
35.2.237 Cmm21'		7.2.21 mm21'
35.3.238 Cm'm2'		7.3.22 m'm2'
35.4.239 Cm'm'2		7.4.23 m'm'2
35.5.240 C_cmm2		7.2.21 mm21'
35.6.241 P_Cmm2		7.2.21 mm21'
35.7.242 I_cmm2		7.2.21 mm21'
35.8.243 C_cmc2_1		7.2.21 mm21'
35.9.244 C_ccc2		7.2.21 mm21'
35.10.245 P_Cma2		7.2.21 mm21'
35.11.246 P_Cba2		7.2.21 mm21'
35.12.247 I_cma2		7.2.21 mm21'
35.13.248 I_cba2		7.2.21 mm21'
36.1.249 Cmc2_1		7.1.20 mm2
36.2.250 Cmc2_11'		7.2.21 mm21'
36.3.251 Cm'c2_1'		7.3.22 m'm2'
36.4.252 Cmc'2_1'		7.3.22 mm'2'
36.5.253 Cm'c'2_1		7.4.23 m'm'2
36.6.254 P_Cmc2_1		7.2.21 mm21'
36.7.255 P_Cca2_1		7.2.21 mm21'
36.8.256 P_Cmn2_1		7.2.21 mm21'
36.9.257 P_Cna2_1		7.2.21 mm21'
37.1.258 Ccc2		7.1.20 mm2
37.2.259 Ccc21'		7.2.21 mm21'
37.3.260 Cc'c2'		7.3.22 m'm2'
37.4.261 Cc'c'2		7.4.23 m'm'2
37.5.262 P_Ccc2		7.2.21 mm21'
37.6.263 P_Cnc2		7.2.21 mm21'
37.7.264 P_Cnn2		7.2.21 mm21'
38.1.265 Amm2		7.1.20 mm2
38.2.266 Amm21'		7.2.21 mm21'
38.3.267 Am'm2'		7.3.22 m'm2'
38.4.268 Amm'2'		7.3.22 mm'2'
38.5.269 Am'm'2		7.4.23 m'm'2
38.6.270 A_amm2		7.2.21 mm21'
38.7.271 P_Amm2		7.2.21 mm21'
38.8.272 I_amm2		7.2.21 mm21'
38.9.273 A_ama2		7.2.21 mm21'
38.10.274 P_Bmn2_1		7.2.21 mm21'
38.11.275 P_Amc2_1		7.2.21 mm21'
38.12.276 P_Anc2		7.2.21 mm21'
38.13.277 I_ama2		7.2.21 mm21'
39.1.278 Abm2		7.1.20 mm2
39.2.279 Abm21'		7.2.21 mm21'
39.3.280 Ab'm2'		7.3.22 m'm2'
39.4.281 Abm'2'		7.3.22 mm'2'
39.5.282 Ab'm'2		7.4.23 m'm'2
39.6.283 A_abm2		7.2.21 mm21'
39.7.284 P_Bma2		7.2.21 mm21'
39.8.285 I_bma2		7.2.21 mm21'
39.9.286 A_aba2		7.2.21 mm21'
39.10.287 P_Bmc2_1		7.2.21 mm21'
39.11.288 P_Bca2_1		7.2.21 mm21'
39.12.289 P_Acc2		7.2.21 mm21'
39.13.290 I_aba2		7.2.21 mm21'
40.1.291 Ama2		7.1.20 mm2
40.2.292 Ama21'		7.2.21 mm21'
40.3.293 Am'a2'		7.3.22 m'm2'
40.4.294 Ama'2'		7.3.22 mm'2'
40.5.295 Am'a'2		7.4.23 m'm'2
40.6.296 P_Ama2		7.2.21 mm21'
40.7.297 P_Ana2_1		7.2.21 mm21'
40.8.298 P_Amn2_1		7.2.21 mm21'
40.9.299 P_Ann2		7.2.21 mm21'
41.1.300 Aba2		7.1.20 mm2
41.2.301 Aba21'		7.2.21 mm21'
41.3.302 Ab'a2'		7.3.22 m'm2'
41.4.303 Aba'2'		7.3.22 mm'2'
41.5.304 Ab'a'2		7.4.23 m'm'2
41.6.305 P_Aba2		7.2.21 mm21'
41.7.306 P_Aca2_1		7.2.21 mm21'
41.8.307 P_Bna2_1		7.2.21 mm21'
41.9.308 P_Bnc2		7.2.21 mm21'
42.1.309 Fmm2		7.1.20 mm2
42.2.310 Fmm21'		7.2.21 mm21'
42.3.311 Fm'm2'		7.3.22 m'm2'
42.4.312 Fm'm'2		7.4.23 m'm'2
42.5.313 C_Amm2		7.2.21 mm21'
42.6.314 A_Bmm2		7.2.21 mm21'
42.7.315 C_Amc2_1		7.2.21 mm21'
42.8.316 C_Acc2		7.2.21 mm21'
42.9.317 A_Bbm2		7.2.21 mm21'
42.10.318 A_Bma2		7.2.21 mm21'
42.11.319 A_Bba2		7.2.21 mm21'
